household_id;iris_id;commune_id;departement_id;region_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
1;170020000;17002;17;75.0;all;all;1;1;1991.950012193799;0
24;170020000;17002;17;75.0;all;all;2;4;1600.4550475712276;4
30;172740103;17274;17;75.0;some;all;1;2;5506.5;6
33;172740103;17274;17;75.0;some;some;1;1;4002.0;6
40;170280104;17028;17;75.0;all;none;1;0;1131.0;8
56;172740101;17274;17;75.0;some;some;1;2;3402.0;11
57;172740101;17274;17;75.0;some;some;1;2;4851.900000000001;11
76;172740102;17274;17;75.0;all;none;1;0;2144.0;15
78;172740102;17274;17;75.0;all;all;1;2;3795.0;15
80;170280104;17028;17;75.0;all;all;2;3;270.0;16
97;170020000;17002;17;75.0;all;some;2;1;2674.8910417575134;19
122;170020000;17002;17;75.0;all;none;2;0;3751.858869970795;24
129;172740102;17274;17;75.0;all;all;1;4;1635.0;25
144;172740102;17274;17;75.0;some;none;1;0;2398.5;28
164;172740103;17274;17;75.0;none;all;0;2;1500.0;33
173;172740103;17274;17;75.0;all;none;2;0;3756.0;35
178;170280103;17028;17;75.0;none;all;0;2;150.0;36
179;170280103;17028;17;75.0;none;all;0;2;1021.5;36
188;172740103;17274;17;75.0;some;all;2;4;6637.5;38
210;170020000;17002;17;75.0;none;all;0;2;2480.591202987869;42
212;170020000;17002;17;75.0;none;none;0;0;705.3034554543827;42
221;170020000;17002;17;75.0;all;all;1;2;1534.6921895195258;44
225;170280103;17028;17;75.0;all;all;1;1;2596.0;45
233;172740101;17274;17;75.0;all;all;2;2;3199.5;47
239;170280104;17028;17;75.0;some;none;1;0;3393.0;48
250;170020000;17002;17;75.0;some;some;1;2;3267.2913349100913;50
287;170020000;17002;17;75.0;all;none;1;0;1288.1282108038063;57
308;170020000;17002;17;75.0;some;all;1;4;5534.069266065234;62
322;170020000;17002;17;75.0;all;some;2;1;1963.3414061420387;65
330;170280104;17028;17;75.0;some;none;2;0;1191.6000000000001;66
347;170020000;17002;17;75.0;all;some;3;1;3563.6230703238107;70
360;170280102;17028;17;75.0;all;all;2;2;3889.5;72
383;170020000;17002;17;75.0;all;all;1;2;3190.6196223415654;77
388;170030000;17003;17;75.0;some;some;2;2;4998.0;78
395;172740101;17274;17;75.0;all;some;2;1;4429.5;79
424;172740101;17274;17;75.0;all;none;3;0;3453.0;85
427;172740103;17274;17;75.0;all;all;1;2;844.0;86
430;172740103;17274;17;75.0;all;all;1;1;1252.0;86
442;172740101;17274;17;75.0;all;all;2;4;5608.5;89
447;170030000;17003;17;75.0;all;all;2;2;4135.5;90
450;170030000;17003;17;75.0;all;all;2;5;3739.5;90
470;170280102;17028;17;75.0;none;none;0;0;1608.0;94
474;172740102;17274;17;75.0;all;all;1;2;2425.0;95
482;170030000;17003;17;75.0;all;all;2;2;4677.0;97
490;170280103;17028;17;75.0;all;all;1;2;2703.0;99
501;170030000;17003;17;75.0;some;none;1;0;8687.099999999999;101
503;170030000;17003;17;75.0;some;none;1;0;4077.8999999999996;101
511;170030000;17003;17;75.0;all;none;2;0;2616.0;103
524;170280104;17028;17;75.0;some;some;2;2;1068.0;105
531;172740103;17274;17;75.0;some;some;1;1;5139.0;107
534;172740103;17274;17;75.0;all;all;1;2;591.0;107
554;170280103;17028;17;75.0;all;none;2;0;2448.0;111
555;170280103;17028;17;75.0;all;none;2;0;139.5;111
556;170280102;17028;17;75.0;none;all;0;2;1110.0;112
577;170280103;17028;17;75.0;none;all;0;4;603.0;116
578;170280103;17028;17;75.0;none;all;0;3;1971.0;116
619;170280102;17028;17;75.0;none;all;0;2;1969.0;124
624;170280103;17028;17;75.0;some;none;2;0;515.0;125
629;172740103;17274;17;75.0;all;none;1;0;1859.0;126
663;172740101;17274;17;75.0;all;some;2;2;4938.0;133
675;170280104;17028;17;75.0;some;none;1;0;13.5;135
676;170280104;17028;17;75.0;some;none;1;0;366.0;135
680;170030000;17003;17;75.0;some;some;1;2;8038.0;136
682;170030000;17003;17;75.0;some;none;1;0;6560.0;136
692;170280103;17028;17;75.0;some;some;1;2;484.0;138
703;170030000;17003;17;75.0;all;all;2;4;363.0;140
721;170030000;17003;17;75.0;some;all;1;2;2587.5;144
734;170030000;17003;17;75.0;some;some;1;1;1045.5;146
744;170030000;17003;17;75.0;all;all;1;2;1985.0;148
747;170030000;17003;17;75.0;some;some;2;2;5189.400000000001;149
758;170030000;17003;17;75.0;all;all;1;1;2746.0;150
759;170280103;17028;17;75.0;none;none;0;0;1329.3;151
783;170030000;17003;17;75.0;some;some;1;2;2755.2000000000003;155
801;170030000;17003;17;75.0;none;all;0;2;2110.0;159
804;170030000;17003;17;75.0;none;all;0;1;2162.0;159
813;170030000;17003;17;75.0;all;none;3;0;5054.0;161
818;170280104;17028;17;75.0;all;none;1;0;1575.0;162
822;170280103;17028;17;75.0;some;some;2;2;898.2;163
844;170280104;17028;17;75.0;all;none;1;0;3290.0;168
847;170280104;17028;17;75.0;all;all;1;2;2342.0;168
851;170030000;17003;17;75.0;none;none;0;0;2107.0;169
854;170030000;17003;17;75.0;none;all;0;1;1608.0;169
856;172740102;17274;17;75.0;some;some;1;1;3912.0;170
861;170030000;17003;17;75.0;all;all;2;2;2988.0;171
869;170030000;17003;17;75.0;some;all;1;6;3156.3;172
889;170280103;17028;17;75.0;some;some;2;1;613.2;176
892;170280103;17028;17;75.0;all;none;2;0;981.0;177
901;170280103;17028;17;75.0;all;all;2;2;1315.0;179
906;170280103;17028;17;75.0;all;all;2;2;952.5;180
907;170280103;17028;17;75.0;all;none;2;0;799.5;180
910;170280103;17028;17;75.0;all;none;2;0;697.5;180
918;172740101;17274;17;75.0;some;none;1;0;2430.0;182
933;170030000;17003;17;75.0;all;none;1;0;830.0;185
937;170030000;17003;17;75.0;some;some;2;2;3276.0;186
950;170030000;17003;17;75.0;all;some;2;1;2667.0;188
965;170280103;17028;17;75.0;all;some;2;1;618.0;191
970;170030000;17003;17;75.0;some;some;2;2;4368.6;192
990;172740103;17274;17;75.0;all;all;1;1;2345.0;196
999;170280104;17028;17;75.0;some;some;2;1;1458.1999999999998;198
1014;170280103;17028;17;75.0;all;all;1;2;2139.0;201
1016;170280103;17028;17;75.0;some;some;1;1;1954.5;201
1042;170280101;17028;17;75.0;all;none;2;0;600.6;206
1045;172740103;17274;17;75.0;all;all;2;4;3472.5;207
1048;172740103;17274;17;75.0;all;none;2;0;2677.5;207
1049;172740103;17274;17;75.0;all;none;2;0;3225.0;207
1063;170280104;17028;17;75.0;all;some;2;1;1617.0;210
1066;170030000;17003;17;75.0;all;all;1;1;2051.0;211
1069;170030000;17003;17;75.0;all;all;1;4;1387.0;211
1071;170030000;17003;17;75.0;some;all;1;2;3991.5;212
1074;170030000;17003;17;75.0;some;all;1;2;2433.0;212
1087;172740101;17274;17;75.0;some;some;1;1;4279.8;215
1090;172740101;17274;17;75.0;some;some;1;2;4229.400000000001;215
1097;170030000;17003;17;75.0;all;none;2;0;2392.5;217
1103;170280104;17028;17;75.0;some;none;2;0;10841.599999999999;218
1110;172740101;17274;17;75.0;some;all;1;2;3043.5;219
1112;170280102;17028;17;75.0;some;some;1;1;1789.5;220
1125;170280104;17028;17;75.0;all;all;1;2;1183.0;222
1127;170030000;17003;17;75.0;some;none;1;0;6467.5;223
1147;170030000;17003;17;75.0;some;some;1;1;3105.6000000000004;227
1152;172740102;17274;17;75.0;some;all;1;6;2330.9;228
1155;172740102;17274;17;75.0;some;none;1;0;1920.1000000000001;228
1161;170030000;17003;17;75.0;some;all;2;4;5527.2;229
1171;172740101;17274;17;75.0;all;none;1;0;4144.0;231
1173;172740101;17274;17;75.0;all;all;1;4;3412.0;231
1177;170030000;17003;17;75.0;all;all;2;2;1971.0;232
1178;170030000;17003;17;75.0;all;none;2;0;3378.0;232
1179;170280102;17028;17;75.0;all;none;1;0;7.0;233
1201;170280104;17028;17;75.0;some;none;1;0;628.5;237
1206;170280102;17028;17;75.0;some;some;2;2;3537.6;238
1249;172740101;17274;17;75.0;all;none;1;0;1418.0;246
1250;172740103;17274;17;75.0;some;none;2;0;6138.3;247
1266;170030000;17003;17;75.0;all;all;2;2;3439.5;250
1299;172740102;17274;17;75.0;all;none;2;0;3636.0;256
1304;172740103;17274;17;75.0;all;none;3;0;3133.5;257
