person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
10039;0;1;MOBIITI:Quay:114421.link:151190;MOBIITI:Quay:113803.link:153999;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319142;;MOBIITI:StopPlace:79002;MOBIITI:StopPlace:78680;bus
10039;0;3;MOBIITI:Quay:113804.link:125310;MOBIITI:Quay:113777.link:202450;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348519;;MOBIITI:StopPlace:78680;MOBIITI:StopPlace:78666;bus
10039;1;6;MOBIITI:Quay:113776.link:202561;MOBIITI:Quay:113803.link:153999;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348505;;MOBIITI:StopPlace:78666;MOBIITI:StopPlace:78680;bus
10039;1;8;MOBIITI:Quay:113804.link:125310;MOBIITI:Quay:114422.link:151189;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319135;;MOBIITI:StopPlace:78680;MOBIITI:StopPlace:79002;bus
10074;0;1;MOBIITI:Quay:113755.link:224561;MOBIITI:Quay:114245.link:4317;CA_LA_ROCHELLE:Line:20;CA_LA_ROCHELLE:VehicleJourney:C3360831;;MOBIITI:StopPlace:78655;MOBIITI:StopPlace:78902;bus
10074;2;5;MOBIITI:Quay:114244.link:4318;MOBIITI:Quay:113754.link:224563;CA_LA_ROCHELLE:Line:20;CA_LA_ROCHELLE:VehicleJourney:C3360817;;MOBIITI:StopPlace:78902;MOBIITI:StopPlace:78655;bus
10081;2;7;MOBIITI:Quay:113760.link:123552;MOBIITI:Quay:113789.link:123732;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348524;;MOBIITI:StopPlace:78658;MOBIITI:StopPlace:78672;bus
101040;1;2;MOBIITI:Quay:114531.link:92344;MOBIITI:Quay:114146.link:38629;CA_LA_ROCHELLE:Line:3;CA_LA_ROCHELLE:VehicleJourney:C3360536;;MOBIITI:StopPlace:79067;MOBIITI:StopPlace:78852;bus
101040;1;4;MOBIITI:Quay:114147.link:80209;MOBIITI:Quay:114299.link:107458;CA_LA_ROCHELLE:Line:20;CA_LA_ROCHELLE:VehicleJourney:C3360857;;MOBIITI:StopPlace:78853;MOBIITI:StopPlace:78933;bus
101040;1;6;MOBIITI:Quay:114299.link:107458;MOBIITI:Quay:114395.link:78258;CA_LA_ROCHELLE:Line:22;CA_LA_ROCHELLE:VehicleJourney:C3361061;;MOBIITI:StopPlace:78933;MOBIITI:StopPlace:78987;bus
