,Distance class,HTS,HTS adjust with INSEE population weights,EQASIM,Proportion_HTS,Proportion_EQASIM
0,"(0.0, 1.0]",326801.8759536,374787.13673602976,572372.7272727273,0.16032651872147205,0.24270564697991234
1,"(1.0, 2.0]",347931.943914,399019.79343914014,339627.2727272727,0.17069276960835508,0.1440135999352384
2,"(2.0, 3.0]",185523.9298031,212764.94280832197,270536.36363636365,0.09101663115630632,0.11471668729015122
3,"(3.0, 4.0]",109968.0275777,126114.94982423748,171409.0909090909,0.05394947927013347,0.0726833273583051
4,"(4.0, 5.0]",83222.9899655,95442.86130171918,156381.81818181818,0.040828566910231144,0.06631124885799863
5,"(5.0, 6.0]",125767.9314654,144234.79911058708,93600.0,0.0617007921383878,0.03968960692023916
6,"(6.0, 7.0]",56927.0221777,65285.780819440304,88954.54545454546,0.027927964796097226,0.03771977503054974
7,"(7.0, 8.0]",49689.395580000004,56985.43266078515,87263.63636363637,0.024377240147319734,0.037002771642130505
8,"(8.0, 9.0]",48113.547894999996,55178.198721047585,18990.909090909092,0.023604141239505588,0.00805279612047199
9,"(9.0, 10.0]",101649.5475998,116575.04347022442,20372.727272727272,0.049868496160659734,0.008638734373373732
10,"(10.0, 11.0]",9727.8656142,11156.236142954538,32436.363636363636,0.004772417000251371,0.013754129515483033
11,"(11.0, 12.0]",4539.7106583,5206.289450663575,76227.27272727272,0.002227147575956207,0.03232297533277052
12,"(12.0, 13.0]",9945.5437264,11405.876559379582,20363.636363636364,0.004879208229123763,0.008634879516446746
13,"(13.0, 14.0]",11091.5785314,12720.18695589263,18427.272727272728,0.005441444201861505,0.007813794990998909
14,"(14.0, 15.0]",93795.4181641,107567.6695860607,15472.727272727272,0.04601531990107055,0.006560966489728734
15,"(15.0, 16.0]",11729.2077604,13451.441121245227,30818.18181818182,0.005754260259671225,0.013067964982479675
16,"(16.0, 17.0]",13903.306843,15944.769434525086,16954.545454545456,0.006820856760231994,0.007189308168827314
17,"(17.0, 18.0]",7327.4479899,8403.358284597833,9718.181818181818,0.003594790341717969,0.004120842054947131
18,"(18.0, 19.0]",7153.3151491,8203.657017202388,7790.909090909091,0.0035093620923265603,0.0033036123864262777
19,"(19.0, 20.0]",35520.4077166,40735.97149635408,38863.63636363636,0.017426042295970046,0.016479513362861537
20,"(20.0, 21.0]",15559.958533,17844.67206406862,9645.454545454546,0.0076335974993012356,0.004090003199531249
21,"(21.0, 22.0]",16220.409161700001,18602.098560975046,22245.454545454544,0.007957609562505893,0.009432834900332674
22,"(22.0, 23.0]",2735.7742521,3137.4758657942684,19200.0,0.0013421500735488667,0.008141457829792647
23,"(23.0, 24.0]",0.0,0.0,29990.909090909092,0.0,0.012717173002124027
24,"(24.0, 25.0]",79603.4629707,91291.8687324095,3736.3636363636365,0.03905285445202889,0.0015843461969908988
25,"(25.0, 26.0]",4132.4225218,4739.198023908542,3545.4545454545455,0.0020273351089957294,0.0015033942015242104
26,"(26.0, 27.0]",8141.1114536,9336.494298389078,8427.272727272728,0.0039939674583279045,0.0035734523713152385
27,"(27.0, 28.0]",21463.6047852,24615.16770063156,5172.727272727273,0.010529881520365665,0.0021934135914545533
28,"(28.0, 29.0]",8976.1290483,10294.11993174454,3100.0,0.004403620749450493,0.0013145062121019378
29,"(29.0, 30.0]",74416.8481283,85343.68829291996,2736.3636363636365,0.03650834059572173,0.0011603119350225316
30,"(30.0, 31.0]",0.0,0.0,12254.545454545454,0.0,0.005196347137575989
31,"(31.0, 32.0]",2557.3093044,2932.8063957642835,3309.090909090909,0.0012545965254088522,0.0014031679214225963
32,"(32.0, 33.0]",7345.8533985,8424.466212358413,6254.545454545455,0.003603819895412769,0.0026521415657657864
33,"(33.0, 34.0]",0.0,0.0,4045.4545454545455,0.0,0.0017154113325083939
34,"(34.0, 35.0]",43352.577902799996,49718.16179116123,3290.909090909091,0.02126844551450554,0.0013954582075686262
35,"(35.0, 36.0]",8309.8791381,9530.042628130934,2945.4545454545455,0.00407676360277969,0.0012489736443431901
36,"(36.0, 37.0]",0.0,0.0,909.0909090909091,0.0,0.0003854856926985155
37,"(37.0, 38.0]",0.0,0.0,872.7272727272727,0.0,0.0003700662649905749
38,"(38.0, 39.0]",7018.9406348,8049.551905908773,2836.3636363636365,0.003443438976004956,0.0012027153612193683
39,"(39.0, 40.0]",24757.9499039,28393.231002303644,454.54545454545456,0.0121460622194729,0.00019274284634925775
40,"(40.0, 41.0]",0.0,0.0,681.8181818181819,0.0,0.00028911426952388665
41,"(41.0, 42.0]",11978.1506944,13736.937063311889,590.9090909090909,0.005876389772704363,0.00025056570025403505
42,"(42.0, 43.0]",3668.2715563,4206.894435180956,572.7272727272727,0.0017996261699246734,0.00024285598640006476
43,"(43.0, 44.0]",4325.3947601,4960.504931804837,590.9090909090909,0.0021220058237407143,0.00025056570025403505
44,"(44.0, 45.0]",7695.4597955,8825.406323653347,381.8181818181818,0.003775334138989893,0.0001619039909333765
45,"(45.0, 46.0]",0.0,0.0,409.09090909090907,0.0,0.00017346856171433198
46,"(46.0, 47.0]",2441.1850261,2799.631255191424,427.27272727272725,0.001197626836282815,0.00018117827556830227
47,"(47.0, 48.0]",0.0,0.0,372.72727272727275,0.0,0.00015804913400639136
48,"(48.0, 49.0]",0.0,0.0,418.1818181818182,0.0,0.00017732341864131712
49,"(49.0, 50.0]",7673.0215574,8799.673414420922,1163.6363636363637,0.0037643261097663177,0.0004934216866540999
50,"(50.0, 51.0]",0.0,0.0,709.0909090909091,0.0,0.00030067884030484206
51,"(51.0, 52.0]",5312.5656674,6092.624986919227,309.09090909090907,0.00260630437462479,0.00013106513551749526
52,"(52.0, 53.0]",0.0,0.0,281.8181818181818,0.0,0.0001195005647365398
53,"(53.0, 54.0]",0.0,0.0,309.09090909090907,0.0,0.00013106513551749526
54,"(54.0, 55.0]",0.0,0.0,272.72727272727275,0.0,0.00011564570780955464
55,"(55.0, 56.0]",0.0,0.0,354.54545454545456,0.0,0.00015033942015242103
56,"(56.0, 57.0]",0.0,0.0,354.54545454545456,0.0,0.00015033942015242103
57,"(57.0, 58.0]",0.0,0.0,272.72727272727275,0.0,0.00011564570780955464
58,"(58.0, 59.0]",0.0,0.0,309.09090909090907,0.0,0.00013106513551749526
59,"(59.0, 60.0]",0.0,0.0,609.0909090909091,0.0,0.0002582754141080054
60,"(60.0, 61.0]",0.0,0.0,2645.4545454545455,0.0,0.0011217633657526801
61,"(61.0, 62.0]",0.0,0.0,363.6363636363636,0.0,0.0001541942770794062
62,"(62.0, 63.0]",0.0,0.0,327.27272727272725,0.0,0.00013877484937146559
63,"(63.0, 64.0]",0.0,0.0,272.72727272727275,0.0,0.00011564570780955464
64,"(64.0, 65.0]",3255.4983837,3733.512588675993,318.1818181818182,0.0015971227859050189,0.0001349199924444804
65,"(65.0, 66.0]",0.0,0.0,245.45454545454547,0.0,0.00010408113702859918
66,"(66.0, 67.0]",0.0,0.0,136.36363636363637,0.0,5.782285390477732e-05
67,"(67.0, 68.0]",0.0,0.0,127.27272727272727,0.0,5.396799697779217e-05
68,"(68.0, 69.0]",0.0,0.0,200.0,0.0,8.480685239367341e-05
69,"(69.0, 70.0]",0.0,0.0,36.36363636363637,0.0,1.541942770794062e-05
70,"(70.0, 71.0]",0.0,0.0,100.0,0.0,4.240342619683671e-05
