household_id;iris_id;commune_id;departement_id;region_id;car_availability;bike_availability;number_of_vehicles;number_of_bikes;income;census_household_id
30;172740103;17274;17;75.0;some;all;1;2;5506.5;6
33;172740103;17274;17;75.0;some;some;1;1;4002.0;6
40;170280104;17028;17;75.0;all;none;1;0;1131.0;8
56;172740101;17274;17;75.0;some;some;1;2;3402.0;11
57;172740101;17274;17;75.0;some;some;1;2;4851.900000000001;11
76;172740102;17274;17;75.0;all;none;1;0;2144.0;15
78;172740102;17274;17;75.0;all;all;1;2;3795.0;15
80;170280104;17028;17;75.0;all;all;2;3;270.0;16
129;172740102;17274;17;75.0;all;all;1;4;1635.0;25
144;172740102;17274;17;75.0;some;none;1;0;2398.5;28
173;172740103;17274;17;75.0;all;none;2;0;3756.0;35
178;170280103;17028;17;75.0;none;all;0;2;150.0;36
179;170280103;17028;17;75.0;none;all;0;2;1021.5;36
188;172740103;17274;17;75.0;some;all;2;4;6637.5;38
225;170280103;17028;17;75.0;all;all;1;1;2596.0;45
233;172740101;17274;17;75.0;all;all;2;2;3199.5;47
239;170280104;17028;17;75.0;some;none;1;0;3393.0;48
330;170280104;17028;17;75.0;some;none;2;0;1191.6;66
360;170280102;17028;17;75.0;all;all;2;2;3889.5;72
395;172740101;17274;17;75.0;all;some;2;1;4429.5;79
424;172740101;17274;17;75.0;all;none;3;0;3453.0;85
430;172740103;17274;17;75.0;all;all;1;1;1252.0;86
442;172740101;17274;17;75.0;all;all;2;4;5608.5;89
474;172740102;17274;17;75.0;all;all;1;2;2425.0;95
490;170280103;17028;17;75.0;all;all;1;2;2703.0;99
524;170280104;17028;17;75.0;some;some;2;2;1068.0;105
531;172740103;17274;17;75.0;some;some;1;1;5139.0;107
534;172740103;17274;17;75.0;all;all;1;2;591.0;107
554;170280103;17028;17;75.0;all;none;2;0;2448.0;111
555;170280103;17028;17;75.0;all;none;2;0;139.5;111
556;170280102;17028;17;75.0;none;all;0;2;1110.0;112
577;170280103;17028;17;75.0;none;all;0;4;603.0;116
578;170280103;17028;17;75.0;none;all;0;3;1971.0;116
624;170280103;17028;17;75.0;some;none;2;0;515.0;125
629;172740103;17274;17;75.0;all;none;1;0;1859.0;126
663;172740101;17274;17;75.0;all;some;2;2;4938.0;133
675;170280104;17028;17;75.0;some;none;1;0;13.5;135
676;170280104;17028;17;75.0;some;none;1;0;366.0;135
692;170280103;17028;17;75.0;some;some;1;2;484.0;138
759;170280103;17028;17;75.0;none;none;0;0;1329.3;151
818;170280104;17028;17;75.0;all;none;1;0;1575.0;162
822;170280103;17028;17;75.0;some;some;2;2;898.2;163
847;170280104;17028;17;75.0;all;all;1;2;2342.0;168
856;172740102;17274;17;75.0;some;some;1;1;3912.0;170
889;170280103;17028;17;75.0;some;some;2;1;613.2;176
892;170280103;17028;17;75.0;all;none;2;0;981.0;177
901;170280103;17028;17;75.0;all;all;2;2;1315.0;179
906;170280103;17028;17;75.0;all;all;2;2;952.5;180
907;170280103;17028;17;75.0;all;none;2;0;799.5;180
910;170280103;17028;17;75.0;all;none;2;0;697.5;180
918;172740101;17274;17;75.0;some;none;1;0;2430.0;182
990;172740103;17274;17;75.0;all;all;1;1;2345.0;196
999;170280104;17028;17;75.0;some;some;2;1;1458.1999999999998;198
1014;170280103;17028;17;75.0;all;all;1;2;2139.0;201
1016;170280103;17028;17;75.0;some;some;1;1;1954.5;201
1042;170280101;17028;17;75.0;all;none;2;0;600.6;206
1045;172740103;17274;17;75.0;all;all;2;4;3472.5;207
1048;172740103;17274;17;75.0;all;none;2;0;2677.5;207
1049;172740103;17274;17;75.0;all;none;2;0;3225.0;207
1063;170280104;17028;17;75.0;all;some;2;1;1617.0;210
1087;172740101;17274;17;75.0;some;some;1;1;4279.8;215
1090;172740101;17274;17;75.0;some;some;1;2;4229.400000000001;215
1103;170280104;17028;17;75.0;some;none;2;0;10841.6;218
1110;172740101;17274;17;75.0;some;all;1;2;3043.5;219
1112;170280102;17028;17;75.0;some;some;1;1;1789.5;220
1125;170280104;17028;17;75.0;all;all;1;2;1183.0;222
1152;172740102;17274;17;75.0;some;all;1;6;2330.9;228
1155;172740102;17274;17;75.0;some;none;1;0;1920.1;228
1171;172740101;17274;17;75.0;all;none;1;0;4144.0;231
1179;170280102;17028;17;75.0;all;none;1;0;7.0;233
1201;170280104;17028;17;75.0;some;none;1;0;628.5;237
1206;170280102;17028;17;75.0;some;some;2;2;3537.6;238
1249;172740101;17274;17;75.0;all;none;1;0;1418.0;246
1250;172740103;17274;17;75.0;some;none;2;0;6138.3;247
1299;172740102;17274;17;75.0;all;none;2;0;3636.0;256
1304;172740103;17274;17;75.0;all;none;3;0;3133.5;257
1321;170280104;17028;17;75.0;all;none;1;0;1250.0;260
1329;170280103;17028;17;75.0;none;all;0;2;458.0;262
1333;170280104;17028;17;75.0;all;none;1;0;2824.0;263
1372;170280103;17028;17;75.0;all;all;2;4;1110.0;270
1401;170280102;17028;17;75.0;all;some;2;1;790.5;276
1420;170280104;17028;17;75.0;all;all;1;2;438.0;280
1421;170280104;17028;17;75.0;all;all;1;3;1312.0;280
1436;172740102;17274;17;75.0;all;all;1;2;2136.0;283
1463;172740102;17274;17;75.0;some;some;2;2;3137.4;288
1495;172740102;17274;17;75.0;all;all;2;2;2520.0;295
1510;170280103;17028;17;75.0;some;all;1;4;4698.0;297
1549;170280104;17028;17;75.0;none;none;0;0;1993.0;305
1557;172740103;17274;17;75.0;some;none;1;0;3350.0;307
1597;172740102;17274;17;75.0;some;all;1;3;6740.8;314
1603;172740101;17274;17;75.0;some;all;1;2;2056.6;316
1605;172740101;17274;17;75.0;some;some;1;1;2824.9;316
1613;172740102;17274;17;75.0;all;all;3;5;4354.5;318
1635;172740102;17274;17;75.0;none;all;0;2;2623.0;322
1645;170280104;17028;17;75.0;none;none;0;0;3816.0;324
1689;170280102;17028;17;75.0;some;none;1;0;331.5;333
1716;170280101;17028;17;75.0;all;none;2;0;520.5;338
1726;172740101;17274;17;75.0;all;some;1;1;4602.0;340
1761;170280103;17028;17;75.0;all;all;2;3;1344.0;347
1764;170280103;17028;17;75.0;all;all;2;2;4684.5;347
1779;170280102;17028;17;75.0;all;all;1;1;2276.0;350
1811;170280104;17028;17;75.0;none;none;0;0;1539.0;357
1839;172740102;17274;17;75.0;some;none;1;0;3184.2000000000003;362
1841;172740103;17274;17;75.0;all;all;2;2;4611.0;363
1862;170280101;17028;17;75.0;all;none;2;0;2305.0;367
1870;172740102;17274;17;75.0;all;none;1;0;1616.0;369
1905;172740101;17274;17;75.0;all;all;1;2;1207.0;376
1944;170280103;17028;17;75.0;some;some;1;2;486.0;383
1965;170280101;17028;17;75.0;all;all;1;1;1917.0;388
1969;172740101;17274;17;75.0;some;all;1;2;2539.5;389
1971;172740101;17274;17;75.0;some;none;1;0;2830.5;389
2019;172740103;17274;17;75.0;some;none;1;0;1972.8;399
2031;172740103;17274;17;75.0;all;none;3;0;2625.0;401
2070;170280103;17028;17;75.0;all;all;1;1;1708.0;409
2085;170280104;17028;17;75.0;all;all;1;2;3739.0;412
2140;170280103;17028;17;75.0;some;some;1;2;260.0;422
2144;170280104;17028;17;75.0;some;none;1;0;2422.5;423
2172;170280103;17028;17;75.0;none;all;0;4;2879.0;429
2181;170280103;17028;17;75.0;all;all;2;2;3001.5;430
2183;170280101;17028;17;75.0;all;all;1;2;1834.0;431
2202;172740101;17274;17;75.0;some;some;2;2;5145.099999999999;435
2205;172740101;17274;17;75.0;some;some;2;1;1738.8;435
2232;170280103;17028;17;75.0;some;all;1;4;5120.7;440
2236;170280104;17028;17;75.0;some;some;2;1;802.8000000000001;441
2262;172740103;17274;17;75.0;some;all;1;2;6691.5;446
2270;170280103;17028;17;75.0;some;all;1;2;5856.0;448
2273;170280103;17028;17;75.0;some;none;1;0;823.5;448
2280;170280103;17028;17;75.0;all;all;2;1;1165.0;450
2281;170280103;17028;17;75.0;all;none;2;0;1481.0;450
2282;170280103;17028;17;75.0;all;all;2;2;1168.0;450
2287;170280104;17028;17;75.0;none;all;0;2;2224.0;451
2351;170280104;17028;17;75.0;all;none;1;0;2345.0;463
2352;170280104;17028;17;75.0;all;all;1;1;3534.0;463
2373;170280104;17028;17;75.0;all;none;1;0;2817.0;468
2374;170280104;17028;17;75.0;all;none;1;0;3412.0;468
2386;170280104;17028;17;75.0;none;all;0;2;3756.0;470
2399;170280102;17028;17;75.0;some;all;1;2;2010.0;473
2402;170280102;17028;17;75.0;some;all;1;2;2970.0;473
2441;170280104;17028;17;75.0;all;all;1;2;2501.0;481
2469;172740103;17274;17;75.0;all;none;2;0;10.5;486
2476;170280102;17028;17;75.0;all;all;1;1;1895.0;488
2477;170280102;17028;17;75.0;all;all;1;2;2262.0;488
2479;170280102;17028;17;75.0;all;none;1;0;1902.0;488
2490;172740103;17274;17;75.0;some;none;2;0;5822.0;491
2491;172740103;17274;17;75.0;some;some;2;2;5572.0;491
2492;172740103;17274;17;75.0;some;none;2;0;5216.0;491
2502;172740102;17274;17;75.0;all;none;1;0;2958.0;493
2505;172740103;17274;17;75.0;all;none;3;0;9180.0;494
2519;170280103;17028;17;75.0;all;none;1;0;2283.0;496
2557;172740101;17274;17;75.0;all;none;2;0;2965.5;504
2571;170280103;17028;17;75.0;all;all;1;2;2156.0;506
2596;172740101;17274;17;75.0;some;some;1;2;3825.0;511
2625;170280104;17028;17;75.0;all;none;1;0;1230.0;517
2627;170280104;17028;17;75.0;all;all;1;2;1358.0;517
2632;172740102;17274;17;75.0;all;all;1;1;1730.0;518
2649;172740103;17274;17;75.0;some;none;1;0;5220.6;522
