trip_id,route_id,route_short_name,route_color_hex,rgb
CA_LA_ROCHELLE:VehicleJourney:C3160314,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160316,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160318,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160320,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160322,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160325,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160327,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160331,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160333,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160336,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160338,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3319662,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3319664,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3319666,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352779,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352781,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352783,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352785,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352787,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352789,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352791,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352793,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352795,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352797,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352799,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160315,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160317,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160319,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160321,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160323,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160326,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160328,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160332,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160334,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3160337,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3319663,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3319665,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352780,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352782,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352784,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352786,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352788,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352790,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352792,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352794,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352796,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3352798,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325208,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325210,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325211,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325215,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325216,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325217,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325218,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325209,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325212,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325213,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325214,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325219,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325220,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325221,CA_LA_ROCHELLE:Line:D4,D4,047935,"4,121,53"
CA_LA_ROCHELLE:VehicleJourney:C3325495,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325510,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325511,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325521,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350371,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3350421,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325473,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325545,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325546,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325547,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3325548,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
CA_LA_ROCHELLE:VehicleJourney:C3349295,CA_LA_ROCHELLE:Line:5,5,f7a70b,"247,167,11"
