person_id,emissionClass,vTypeId
1002,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10037,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10038,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10064,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
10065,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10081,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10082,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10083,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
101,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10191,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10192,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10226,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10227,HBEFA4/PC_petrol_Euro-4,vt_hbefa4_PC_petrol_Euro_4
10228,HBEFA4/PC_diesel_Euro-4,vt_hbefa4_PC_diesel_Euro_4
10236,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
10238,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10239,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10240,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10241,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10242,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10299,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
103,HBEFA4/PC_diesel_Euro-6ab,vt_hbefa4_PC_diesel_Euro_6ab
10344,HBEFA4/PC_petrol_Euro-6ab,vt_hbefa4_PC_petrol_Euro_6ab
