person_id;household_id;age;employed;sex;socioprofessional_class;has_driving_license;has_pt_subscription;census_person_id;hts_id
45;30;70;False;male;0;True;False;9;15796
51;33;70;False;male;0;True;False;9;15834
52;33;69;False;female;0;True;False;10;15717
60;40;73;False;female;0;True;False;12;15842
97;56;43;True;male;2;True;False;19;15649
98;56;1;False;female;0;True;False;20;15748
99;56;1;False;male;0;True;False;21;15649
100;56;12;False;female;0;False;False;22;15870
101;56;35;False;female;0;True;False;23;16034
103;57;43;True;male;2;True;False;19;15783
104;57;1;False;female;0;True;False;20;16038
106;57;12;False;female;0;True;False;22;15710
107;57;35;False;female;0;True;False;23;15947
140;76;78;False;male;0;True;False;28;15727
142;78;78;False;male;0;True;False;28;15941
146;80;56;True;male;4;True;False;29;15768
147;80;54;True;female;4;False;True;30;15901
148;80;21;False;female;0;True;False;31;16008
250;129;43;True;male;6;True;False;49;15783
284;144;70;False;female;0;True;False;55;15842
285;144;73;False;male;0;True;False;56;15823
338;173;71;False;female;0;True;False;68;15856
349;178;68;False;female;0;True;False;71;16055
350;179;71;False;male;0;True;False;70;15468
351;179;68;False;female;0;False;False;71;15626
370;188;17;False;female;0;True;False;74;15891
371;188;51;True;male;3;True;False;75;15824
372;188;50;True;female;4;True;True;76;15980
373;188;15;False;male;0;True;False;77;15796
447;225;64;False;female;0;True;False;89;15748
465;233;68;False;male;0;True;False;93;15941
466;233;70;False;female;0;True;False;94;15686
478;239;67;False;female;0;True;False;96;15749
675;330;4;False;female;0;True;False;134;15779
676;330;36;True;female;3;True;False;135;15855
677;330;41;True;male;4;True;False;136;15468
741;360;54;False;female;0;True;False;148;15982
820;395;61;True;male;5;True;False;164;15834
821;395;62;True;female;5;True;False;165;16100
878;424;61;False;female;0;True;False;176;16079
879;424;62;False;male;0;True;False;177;15909
887;430;59;True;female;2;True;False;178;15855
905;442;61;True;male;5;True;False;182;15940
906;442;62;True;female;5;True;False;183;16079
961;474;70;False;male;0;True;False;193;16040
1002;490;63;False;female;0;True;False;202;15693
1089;524;51;True;female;3;True;False;218;15856
1114;531;77;False;female;0;True;False;224;15877
1115;531;80;False;male;0;True;False;225;15729
1120;534;77;False;female;0;False;False;224;15829
1121;534;80;False;male;0;True;False;225;15680
1160;554;53;True;male;6;True;False;232;15799
1163;555;56;True;female;6;True;False;233;15855
1164;556;14;False;female;0;True;False;234;15831
1165;556;40;True;female;5;True;False;235;15717
1210;577;31;True;male;2;True;False;243;15920
1211;578;31;True;male;2;True;False;243;15768
1309;624;19;False;male;0;True;False;264;15695
1326;629;60;True;male;4;True;False;265;15823
1382;663;67;False;male;0;True;False;277;16040
1384;663;58;True;female;5;True;False;279;15772
1406;675;76;False;male;0;True;False;281;15695
1407;675;74;False;female;0;True;False;282;15856
1408;676;76;False;male;0;True;False;281;15799
1409;676;74;False;female;0;True;False;282;15717
1449;692;53;True;female;5;True;False;288;15869
1450;692;74;False;female;0;True;False;289;15878
1451;692;19;True;male;5;True;False;290;15768
1584;759;41;True;male;4;True;False;315;15672
1586;759;12;False;male;0;True;False;317;15799
1587;759;3;False;female;0;True;False;318;16038
1728;818;35;False;female;0;True;False;343;15919
1736;822;48;True;female;4;True;False;344;15946
1737;822;50;True;male;3;True;False;345;15513
1738;822;13;False;female;0;True;False;346;15759
1767;847;76;False;male;0;True;False;351;15468
1777;856;74;False;female;0;True;False;353;15910
1778;856;73;False;male;0;True;False;354;15658
1854;889;38;True;male;3;True;False;366;15700
1855;889;7;False;male;0;True;False;367;15727
1857;889;37;True;female;4;True;False;369;15947
1864;892;29;True;male;3;True;False;370;15632
1892;901;50;True;female;3;True;False;376;15946
1898;906;31;True;female;4;True;False;378;15717
1899;907;29;True;male;3;True;False;377;15695
1900;907;31;True;female;4;True;True;378;16017
1905;910;29;True;male;3;True;False;377;16071
1906;910;31;True;female;4;True;False;378;16038
1916;918;67;False;male;0;True;False;380;16071
1917;918;71;False;female;0;True;False;381;16038
2047;990;44;True;female;5;True;False;406;15749
2061;999;42;True;female;5;True;False;409;15660
2062;999;43;False;male;0;True;False;410;15940
2063;999;12;False;male;0;True;False;411;15672
2064;999;22;False;female;0;True;False;412;15778
2101;1014;87;False;male;0;True;False;417;15985
2102;1014;86;False;female;0;False;False;418;15829
2106;1016;86;False;female;0;True;False;418;16100
2167;1042;9;False;female;0;True;False;429;15842
2168;1042;35;True;female;5;True;False;430;15760
2173;1045;72;False;male;0;True;False;431;15940
2174;1045;72;False;female;0;True;False;432;15842
2179;1048;72;False;male;0;True;False;431;16071
2180;1048;72;False;female;0;True;False;432;15842
2181;1049;72;False;male;0;True;False;431;15954
2182;1049;72;False;female;0;True;False;432;15767
2199;1063;68;False;male;0;True;False;435;15834
2200;1063;71;False;female;0;True;False;436;15910
2239;1087;43;True;female;5;True;False;443;15855
2240;1087;7;False;male;0;True;False;444;15872
2241;1087;42;True;male;6;True;False;445;15531
2242;1087;11;False;female;0;True;False;446;15839
2251;1090;43;True;female;5;True;False;443;15628
2254;1090;11;False;female;0;False;False;446;15732
2282;1103;47;True;male;4;True;False;451;15672
2283;1103;44;True;female;3;True;False;452;16008
2286;1103;9;False;male;0;True;True;455;15952
2309;1110;54;True;female;5;True;False;457;15862
2312;1112;58;True;female;5;True;False;458;16034
2335;1125;79;False;female;0;True;False;462;15710
2402;1152;28;True;female;4;True;False;476;15742
2403;1152;3;False;male;0;True;False;477;15799
2408;1155;28;True;female;4;True;False;476;16055
2409;1155;3;False;male;0;True;False;477;15941
2450;1171;29;True;male;6;True;False;484;15649
2463;1179;52;True;male;4;True;False;487;15727
2533;1201;84;False;female;0;True;False;501;15760
2549;1206;2;False;male;0;True;False;503;16071
2551;1206;10;False;female;0;True;False;505;15767
2552;1206;7;False;male;0;True;False;506;15799
2648;1249;26;True;male;6;True;False;523;15513
2650;1250;6;False;female;0;True;False;525;15772
2651;1250;6;False;female;0;False;False;526;15870
2752;1299;74;False;male;0;True;False;543;15513
2753;1299;70;False;female;0;True;False;544;15767
2763;1304;30;True;female;3;False;False;546;15626
2804;1321;28;True;male;3;True;False;553;15966
2812;1329;40;False;female;0;True;False;555;15628
2816;1333;31;True;male;4;True;False;556;15887
